Opening serial port 'COM25'
Connection opened.
-I- === Initialize eMMC access ===
Detected memory size is 3925868544 bytes.
Page size is 512 bytes.
Buffer is 88576 bytes (173 pages) at address 0x0022a440.
-I- === Load images on eMMC ===
Wrote 88576 bytes at address 0x0094ac00 (0.92%)
Wrote 88576 bytes at address 0x00960600 (0.92%)
Wrote 88576 bytes at address 0x00976000 (0.93%)
Wrote 88576 bytes at address 0x0098ba00 (0.94%)
Wrote 88576 bytes at address 0x009a1400 (0.95%)
Wrote 88576 bytes at address 0x009b6e00 (0.96%)
Wrote 88576 bytes at address 0x009cc800 (0.97%)
Wrote 88576 bytes at address 0x009e2200 (0.97%)
Wrote 88576 bytes at address 0x009f7c00 (0.98%)
Wrote 88576 bytes at address 0x00a0d600 (0.99%)
Wrote 88576 bytes at address 0x00a23000 (1.00%)
Wrote 88576 bytes at address 0x00a38a00 (1.01%)
Wrote 88576 bytes at address 0x00a4e400 (1.01%)
Wrote 88576 bytes at address 0x00a63e00 (1.02%)
Wrote 88576 bytes at address 0x00a79800 (1.03%)
Wrote 88576 bytes at address 0x00a8f200 (1.04%)
Wrote 88576 bytes at address 0x00aa4c00 (1.05%)
Wrote 88576 bytes at address 0x00aba600 (1.06%)
Wrote 88576 bytes at address 0x00ad0000 (1.06%)
Wrote 88576 bytes at address 0x00ae5a00 (1.07%)
Wrote 88576 bytes at address 0x00afb400 (1.08%)
Wrote 88576 bytes at address 0x00b10e00 (1.09%)
Wrote 88576 bytes at address 0x00b26800 (1.10%)
Wrote 88576 bytes at address 0x00b3c200 (1.11%)
Wrote 88576 bytes at address 0x00b51c00 (1.11%)
Wrote 88576 bytes at address 0x00b67600 (1.12%)
Wrote 88576 bytes at address 0x00b7d000 (1.13%)
Wrote 88576 bytes at address 0x00b92a00 (1.14%)
Wrote 88576 bytes at address 0x00ba8400 (1.15%)
Wrote 88576 bytes at address 0x00bbde00 (1.15%)
Wrote 88576 bytes at address 0x00bd3800 (1.16%)
Wrote 88576 bytes at address 0x00be9200 (1.17%)
Wrote 88576 bytes at address 0x00bfec00 (1.18%)
Wrote 88576 bytes at address 0x00c14600 (1.19%)
Wrote 88576 bytes at address 0x00c2a000 (1.20%)
Wrote 88576 bytes at address 0x00c3fa00 (1.20%)
Wrote 88576 bytes at address 0x00c55400 (1.21%)
Wrote 88576 bytes at address 0x00c6ae00 (1.22%)
Wrote 88576 bytes at address 0x00c80800 (1.23%)
Wrote 88576 bytes at address 0x00c96200 (1.24%)
Wrote 88576 bytes at address 0x00cabc00 (1.25%)
Wrote 88576 bytes at address 0x00cc1600 (1.25%)
Wrote 88576 bytes at address 0x00cd7000 (1.26%)
Wrote 88576 bytes at address 0x00ceca00 (1.27%)
Wrote 88576 bytes at address 0x00d02400 (1.28%)
Wrote 88576 bytes at address 0x00d17e00 (1.29%)
Wrote 88576 bytes at address 0x00d2d800 (1.30%)
Wrote 88576 bytes at address 0x00d43200 (1.30%)
Wrote 88576 bytes at address 0x00d58c00 (1.31%)
Wrote 88576 bytes at address 0x00d6e600 (1.32%)
Wrote 88576 bytes at address 0x00d84000 (1.33%)
Wrote 88576 bytes at address 0x00d99a00 (1.34%)
Wrote 88576 bytes at address 0x00daf400 (1.34%)
Wrote 88576 bytes at address 0x00dc4e00 (1.35%)
Wrote 88576 bytes at address 0x00dda800 (1.36%)
Wrote 88576 bytes at address 0x00df0200 (1.37%)
Wrote 88576 bytes at address 0x00e05c00 (1.38%)
Wrote 88576 bytes at address 0x00e1b600 (1.39%)
Wrote 88576 bytes at address 0x00e31000 (1.39%)
Wrote 88576 bytes at address 0x00e46a00 (1.40%)
Wrote 88576 bytes at address 0x00e5c400 (1.41%)
Wrote 88576 bytes at address 0x00e71e00 (1.42%)
Wrote 88576 bytes at address 0x00e87800 (1.43%)
Wrote 88576 bytes at address 0x00e9d200 (1.44%)
Wrote 88576 bytes at address 0x00eb2c00 (1.44%)
Wrote 88576 bytes at address 0x00ec8600 (1.45%)
Wrote 88576 bytes at address 0x00ede000 (1.46%)
Wrote 88576 bytes at address 0x00ef3a00 (1.47%)
Wrote 88576 bytes at address 0x00f09400 (1.48%)
Wrote 88576 bytes at address 0x00f1ee00 (1.48%)
Wrote 88576 bytes at address 0x00f34800 (1.49%)
Wrote 88576 bytes at address 0x00f4a200 (1.50%)
Wrote 88576 bytes at address 0x00f5fc00 (1.51%)
Wrote 88576 bytes at address 0x00f75600 (1.52%)
Wrote 88576 bytes at address 0x00f8b000 (1.53%)
Wrote 88576 bytes at address 0x00fa0a00 (1.53%)
Wrote 88576 bytes at address 0x00fb6400 (1.54%)
Wrote 88576 bytes at address 0x00fcbe00 (1.55%)
Wrote 88576 bytes at address 0x00fe1800 (1.56%)
Wrote 88576 bytes at address 0x00ff7200 (1.57%)
Wrote 88576 bytes at address 0x0100cc00 (1.58%)
Wrote 88576 bytes at address 0x01022600 (1.58%)
Wrote 88576 bytes at address 0x01038000 (1.59%)
Wrote 88576 bytes at address 0x0104da00 (1.60%)
Wrote 88576 bytes at address 0x01063400 (1.61%)
